"PackageId","Title","Originators","yearrange","ltercore","edilink","category","pub_notes","Keywords"
"knb-lter-hbr.1.17","Hubbard Brook Experimental Forest: Instantaneous Streamflow by Watershed, 1956 – present","USDA Forest Service, Northern Research Station.","1956 - 2023","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.1.17","Hydrometeorology","1001","ecosystems;forests;watersheds;stream discharge;hydrology;stream flow;streams;water;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;weir;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.2.14","Hubbard Brook Experimental Forest: Daily Streamflow by Watershed, 1956 - present","USDA Forest Service, Northern Research Station.","1956 - 2023","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.2.14","Hydrometeorology","1002","ecosystems;forests;watersheds;stream discharge;hydrology;streamflow;streams;water;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;weir;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.13.22","Hubbard Brook Experimental Forest: Daily Precipitation Rain Gage Measurements, 1956 - present","USDA Forest Service, Northern Research Station.","1956 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.13.22","Hydrometeorology","1100","ecosystems;forests;watersheds;precipitation;rain;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.14.19","Hubbard Brook Experimental Forest: Total Daily Precipitation by Watershed, 1956 - present","USDA Forest Service, Northern Research Station.","1956 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.14.19","Hydrometeorology","1100","ecosystems;forests;watersheds;precipitation;rain;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.277.9","Hubbard Brook Experimental Forest: 15-minute Precipitation Measurements, 2011 - present","USDA Forest Service, Northern Research Station.","2011 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.277.9","Hydrometeorology","1100","ecosystems;forests;watersheds;precipitation;rain;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.278.5","Hubbard Brook Experimental Forest: 15-minute Precipitation by Watershed, 2017 - present","USDA Forest Service, Northern Research Station.","2017 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.278.5","Hydrometeorology","1100","ecosystems;forests;watersheds;precipitation;rain;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;gage;gauge;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.322.5","Hubbard Brook Experimental Forest: 15-Minute Air Temperature Record, 2014 - present","USDA Forest Service, Northern Research Station.","2014 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.322.5","Hydrometeorology","1200","ecosystems;forests;watersheds;temperature;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.59.14","Hubbard Brook Experimental Forest: Daily Temperature Record, 1955 - present","USDA Forest Service, Northern Research Station.","1957 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.59.14","Hydrometeorology","1200","ecosystems;forests;watersheds;temperature;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.336.2","Hubbard Brook Experimental Forest: 15 Minute Relative Humidity Measurements, 2011 – present","USDA Forest Service, Northern Research Station.","2011 - 2023","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.336.2","Hydrometeorology","1250","ecosystems;forests;watersheds;relative humidity;meteorology;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.337.3","Hubbard Brook Experimental Forest: 15 Minute Wind Speed and Direction Measurements, 2012 – present","USDA Forest Service, Northern Research Station.","2012 - 2023", ,"https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.337.3","Hydrometeorology","1250","ecosystems;forests;watersheds;climate;weather;wind;wind speed;wind direction;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
